Filled container:
Container contains 128 elements
1: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
47: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
48: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
49: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
50: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
51: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
52: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
53: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
54: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
55: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
56: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
57: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
58: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
59: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
60: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
61: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
62: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
63: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
64: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
65: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
66: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
67: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
68: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
69: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
70: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
71: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
72: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
73: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
74: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
75: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
76: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
77: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
78: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
79: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
80: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
81: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
82: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
83: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
84: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
85: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
86: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
87: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
88: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
89: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
90: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
91: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
92: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
93: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
94: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
95: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
96: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
97: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
98: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
99: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
100: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
101: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
102: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
103: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
104: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
105: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
106: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
107: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
108: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
109: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
110: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
111: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
112: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
113: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
114: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
115: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
116: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
117: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
118: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
119: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
120: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
121: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
122: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
123: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
124: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
125: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
126: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
127: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
128: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
